Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Mother tongue,          Lao,,35,,10,,25,,5190,,2480,,2710,
Mother tongue,          Thai,,55,,20,,35,,3270,,1045,,2220,
Mother tongue,          Tai-Kadai languages; n.i.e,,0,,0,,0,,25,,10,,15,
Mother tongue,        Turkic languages,,310,,160,,150,,22615,,11745,,10870,
Mother tongue,          Azerbaijani,,20,,10,,10,,1990,,1070,,920,
Mother tongue,          Turkish,,290,,145,,135,,18415,,9610,,8810,
Mother tongue,          Uyghur,,0,,0,,0,,515,,255,,260,
Mother tongue,          Uzbek,,0,,0,,0,,1055,,515,,545,
Mother tongue,          Turkic languages; n.i.e.,,0,,5,,5,,640,,295,,345,
Mother tongue,        Uralic languages,,790,,365,,425,,50670,,23095,,27570,
Mother tongue,          Estonian,,80,,40,,45,,4205,,1810,,2400,
Mother tongue,          Finnish,,85,,25,,55,,9720,,4140,,5580,
Mother tongue,          Hungarian,,625,,295,,325,,36740,,17150,,19590,
Mother tongue,          Uralic languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Mother tongue,        Other languages; n.i.e.,,10,,5,,5,,1475,,780,,690,
Mother tongue,  Multiple responses,,3360,,1605,,1755,,365910,,176250,,189660,
Mother tongue,    English and French,,475,,225,,245,,54045,,25165,,28880,
Mother tongue,    English and non-official language,,2680,,1290,,1385,,288285,,140345,,147940,
Mother tongue,    French and non-official language,,95,,45,,50,,12565,,5735,,6830,
Mother tongue,    English; French and non-official language,,115,,45,,70,,11010,,5000,,6005,
Language spoken most often at home,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,19,181150,,87270,,93880,,13312865,,6503875,,6808990,
Language spoken most often at home,  Single responses,,174210,,84035,,90175,,12522045,,6123955,,6398085,
Language spoken most often at home,    Official languages,,161350,,77920,,83430,,10605725,,5214425,,5391300,
Language spoken most often at home,      English,,160345,,77455,,82890,,10328680,,5084885,,5243800,
Language spoken most often at home,      French,,1000,,465,,540,,277045,,129540,,147500,
Language spoken most often at home,    Non-official languages,,12865,,6115,,6750,,1916315,,909530,,1006780,
Language spoken most often at home,      Aboriginal languages,,0,,0,,0,,9210,,4600,,4610,
Language spoken most often at home,        Algonquian languages,,0,,0,,0,,8685,,4370,,4320,
Language spoken most often at home,          Blackfoot,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Cree-Montagnais languages,,0,,0,,0,,2370,,1205,,1165,
Language spoken most often at home,            Atikamekw,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Montagnais (Innu),,0,,0,,0,,5,,5,,5,
Language spoken most often at home,            Moose Cree,,0,,0,,0,,10,,10,,5,
Language spoken most often at home,            Naskapi,,0,,0,,0,,10,,5,,5,
Language spoken most often at home,            Northern East Cree,,0,,0,,0,,20,,10,,15,
Language spoken most often at home,            Plains Cree,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Southern East Cree,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Swampy Cree,,0,,0,,0,,105,,50,,55,
Language spoken most often at home,            Woods Cree,,0,,0,,0,,5,,5,,0,
Language spoken most often at home,            Cree; n.o.s.,,0,,0,,0,,2220,,1135,,1085,
Language spoken most often at home,          Eastern Algonquian languages,,0,,0,,0,,5,,5,,5,
Language spoken most often at home,            Malecite,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Mi'kmaq,,0,,0,,0,,5,,5,,0,
Language spoken most often at home,          Ojibway-Potawatomi languages,,0,,0,,0,,6305,,3155,,3145,
Language spoken most often at home,            Algonquin,,0,,0,,0,,5,,0,,0,
Language spoken most often at home,            Ojibway,,0,,0,,0,,3315,,1695,,1620,
Language spoken most often at home,            Oji-Cree,,0,,0,,0,,2905,,1420,,1490,
Language spoken most often at home,            Ottawa (Odawa),,0,,0,,0,,75,,40,,35,
Language spoken most often at home,          Algonquian languages; n.i.e.,,0,,0,,0,,5,,0,,0,
Language spoken most often at home,        Athabaskan languages,,0,,0,,0,,20,,10,,10,
Language spoken most often at home,          Northern Athabaskan languages,,0,,0,,0,,15,,10,,10,
Language spoken most often at home,            Babine (Wetsuwet'en),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Beaver,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Carrier,,0,,0,,0,,0,,5,,0,
Language spoken most often at home,            Chilcotin,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Dene,,0,,0,,0,,5,,0,,5,
Language spoken most often at home,            Dogrib (Tlicho),,0,,0,,0,,0,,0,,5,
Language spoken most often at home,            Gwich'in,,0,,0,,0,,5,,0,,0,
Language spoken most often at home,            Sarsi (Sarcee),,0,,0,,0,,5,,5,,0,
Language spoken most often at home,            Sekani,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Slavey-Hare languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              North Slavey (Hare),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              South Slavey,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Slavey; n.o.s.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Tahltan languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Kaska (Nahani),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Tahltan,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Tutchone languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Northern Tutchone,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Southern Tutchone,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Athabaskan languages; n.i.e.,,0,,0,,0,,0,,5,,0,
Language spoken most often at home,        Haida,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Inuit languages,,0,,0,,0,,160,,60,,90,
Language spoken most often at home,          Inuinnaqtun (Inuvialuktun),,0,,0,,0,,0,,0,,5,
Language spoken most often at home,          Inuktitut,,0,,0,,0,,140,,60,,80,
Language spoken most often at home,          Inuit languages; n.i.e.,,0,,0,,0,,15,,5,,10,
Language spoken most often at home,        Iroquoian languages,,0,,0,,0,,210,,90,,120,
Language spoken most often at home,          Cayuga,,0,,0,,0,,5,,5,,5,
Language spoken most often at home,          Mohawk,,0,,0,,0,,185,,80,,100,
Language spoken most often at home,          Oneida,,0,,0,,0,,20,,5,,10,
Language spoken most often at home,          Iroquoian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Kutenai,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Michif,,0,,0,,0,,5,,5,,0,
Language spoken most often at home,        Salish languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Comox,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Halkomelem,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Lillooet,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Okanagan,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Shuswap (Secwepemctsin),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Squamish,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Straits,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Thompson (Ntlakapamux),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Salish languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Siouan languages,,0,,0,,0,,5,,0,,5,
Language spoken most often at home,          Dakota,,0,,0,,0,,5,,5,,0,
Language spoken most often at home,          Stoney,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Siouan languages; n.i.e.,,0,,0,,0,,0,,0,,5,
Language spoken most often at home,        Tlingit,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Tsimshian languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Gitxsan (Gitksan),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Nisga'a,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Tsimshian,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Wakashan languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Haisla,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Heiltsuk,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Kwakiutl (Kwak'wala),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Nuu-chah-nulth (Nootka),,0,,0,,0,,5,,0,,0,
Language spoken most often at home,          Wakashan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Aboriginal languages; n.o.s.,,0,,0,,0,,120,,55,,65,
Language spoken most often at home,      Non-Aboriginal languages,,12860,,6115,,6750,,1907105,,904930,,1002170,
Language spoken most often at home,        Afro-Asiatic languages,,1205,,605,,600,,138460,,66865,,71590,
Language spoken most often at home,          Berber languages,,0,,0,,0,,345,,175,,170,
Language spoken most often at home,            Kabyle,,0,,0,,0,,255,,125,,130,
Language spoken most often at home,            Berber languages; n.i.e.,,0,,0,,0,,90,,50,,45,
Language spoken most often at home,          Cushitic languages,,5,,5,,5,,14460,,6100,,8360,
Language spoken most often at home,            Bilen,,0,,0,,0,,170,,80,,85,
Language spoken most often at home,            Oromo,,5,,0,,0,,805,,380,,425,
Language spoken most often at home,            Somali,,5,,0,,5,,13370,,5590,,7780,
Language spoken most often at home,            Cushitic languages; n.i.e.,,0,,0,,0,,110,,50,,65,
Language spoken most often at home,          Semitic languages,,1190,,605,,590,,123410,,60475,,62940,
Language spoken most often at home,            Amharic,,10,,5,,5,,5625,,2540,,3085,
Language spoken most often at home,            Arabic,,1115,,570,,545,,94195,,46505,,47695,
Language spoken most often at home,            Assyrian Neo-Aramaic,,15,,5,,10,,9515,,4595,,4920,
Language spoken most often at home,            Chaldean Neo-Aramaic,,10,,5,,0,,2915,,1410,,1500,
Language spoken most often at home,            Harari,,0,,0,,0,,555,,250,,305,
Language spoken most often at home,            Hebrew,,10,,5,,5,,4850,,2505,,2345,
Language spoken most often at home,            Maltese,,10,,5,,5,,1090,,505,,580,
Language spoken most often at home,            Tigrigna,,5,,0,,0,,3920,,1805,,2115,
Language spoken most often at home,            Semitic languages; n.i.e.,,20,,10,,5,,755,,360,,395,
Language spoken most often at home,          Afro-Asiatic languages; n.i.e.,,0,,0,,0,,245,,115,,125,
Language spoken most often at home,        Austro-Asiatic languages,,155,,65,,90,,50245,,23105,,27140,
Language spoken most often at home,          Khmer (Cambodian),,0,,5,,0,,3770,,1650,,2120,
Language spoken most often at home,          Vietnamese,,155,,65,,85,,46435,,21435,,25000,
Language spoken most often at home,          Austro-Asiatic languages; n.i.e,,0,,0,,0,,40,,20,,20,
Language spoken most often at home,        Austronesian languages,,630,,275,,360,,85370,,36525,,48845,
Language spoken most often at home,          Bikol,,0,,0,,0,,90,,35,,55,
Language spoken most often at home,          Cebuano,,15,,10,,10,,2325,,1020,,1315,
Language spoken most often at home,          Fijian,,0,,0,,0,,15,,10,,10,
Language spoken most often at home,          Hiligaynon,,10,,5,,5,,910,,385,,530,
Language spoken most often at home,          Ilocano,,35,,15,,20,,4100,,1780,,2320,
Language spoken most often at home,          Malagasy,,0,,0,,0,,35,,15,,20,
Language spoken most often at home,          Malay,,10,,0,,10,,1810,,860,,945,
Language spoken most often at home,          Pampangan (Kapampangan; Pampango),,10,,5,,5,,445,,200,,250,
Language spoken most often at home,          Pangasinan,,0,,0,,0,,90,,40,,50,
Language spoken most often at home,          Tagalog (Pilipino; Filipino),,555,,235,,320,,75070,,31965,,43105,
Language spoken most often at home,          Waray-Waray,,0,,0,,0,,90,,35,,55,
Language spoken most often at home,          Austronesian languages; n.i.e.,,0,,5,,0,,380,,175,,200,
Language spoken most often at home,        Creole languages,,5,,0,,0,,5325,,2355,,2970,
Language spoken most often at home,          Haitian Creole,,5,,5,,0,,355,,165,,190,
Language spoken most often at home,          Creole; n.o.s.,,0,,0,,0,,3995,,1735,,2255,
Language spoken most often at home,          Creole languages; n.i.e.,,0,,0,,0,,975,,455,,520,
Language spoken most often at home,        Dravidian languages,,200,,95,,105,,96250,,46575,,49680,
Language spoken most often at home,          Kannada,,15,,5,,5,,1060,,540,,520,
Language spoken most often at home,          Malayalam,,65,,30,,30,,8760,,4460,,4295,
Language spoken most often at home,          Tamil,,85,,40,,45,,80600,,38460,,42140,
Language spoken most often at home,          Telugu,,35,,15,,20,,5705,,3050,,2655,
Language spoken most often at home,          Dravidian languages; n.i.e.,,0,,0,,0,,125,,55,,70,
Language spoken most often at home,        Hmong-Mien languages,,0,,0,,0,,200,,95,,105,
Language spoken most often at home,        Indo-European languages,,8110,,3880,,4230,,978300,,469640,,508670,
Language spoken most often at home,          Albanian,,55,,30,,25,,9190,,4580,,4605,
Language spoken most often at home,          Armenian,,45,,20,,20,,8630,,4065,,4560,
Language spoken most often at home,          Balto-Slavic languages,,2440,,1150,,1290,,192945,,90585,,102365,
Language spoken most often at home,            Baltic languages,,40,,20,,25,,2305,,950,,1355,
Language spoken most often at home,              Latvian,,10,,0,,10,,860,,350,,515,
Language spoken most often at home,              Lithuanian,,30,,15,,15,,1440,,600,,840,
Language spoken most often at home,            Slavic languages,,2395,,1130,,1265,,190645,,89635,,101005,
Language spoken most often at home,              Belarusan,,0,,0,,0,,175,,80,,90,
Language spoken most often at home,              Bosnian,,60,,35,,25,,3220,,1595,,1620,
Language spoken most often at home,              Bulgarian,,70,,40,,35,,4830,,2350,,2480,
Language spoken most often at home,              Croatian,,225,,105,,125,,11125,,5275,,5855,
Language spoken most often at home,              Czech,,60,,30,,35,,3070,,1480,,1595,
Language spoken most often at home,              Macedonian,,40,,15,,25,,6255,,2965,,3285,
Language spoken most often at home,              Polish,,850,,390,,460,,52555,,24510,,28045,
Language spoken most often at home,              Russian,,495,,240,,255,,63570,,29655,,33920,
Language spoken most often at home,              Serbian,,345,,175,,175,,23175,,11335,,11840,
Language spoken most often at home,              Serbo-Croatian,,40,,20,,20,,1925,,920,,1010,
Language spoken most often at home,              Slovak,,65,,30,,40,,3520,,1680,,1845,
Language spoken most often at home,              Slovene (Slovenian),,25,,10,,10,,1465,,645,,815,
Language spoken most often at home,              Ukrainian,,110,,50,,60,,15415,,6995,,8420,
Language spoken most often at home,              Slavic languages; n.i.e.,,0,,0,,0,,355,,160,,190,
Language spoken most often at home,          Celtic languages,,5,,0,,0,,120,,65,,55,
Language spoken most often at home,            Scottish Gaelic,,5,,5,,0,,60,,30,,25,
Language spoken most often at home,            Welsh,,0,,5,,0,,30,,10,,15,
Language spoken most often at home,            Celtic languages; n.i.e.,,0,,0,,0,,35,,20,,15,
Language spoken most often at home,          Germanic languages,,275,,125,,150,,44515,,21630,,22880,
Language spoken most often at home,            Afrikaans,,30,,15,,20,,755,,365,,390,
Language spoken most often at home,            Danish,,10,,0,,0,,280,,135,,150,
Language spoken most often at home,            Dutch,,50,,20,,25,,4450,,2145,,2305,
Language spoken most often at home,            Frisian,,0,,5,,0,,90,,45,,45,
Language spoken most often at home,            German,,165,,75,,95,,37255,,18140,,19120,
Language spoken most often at home,            Icelandic,,10,,5,,5,,45,,20,,30,
Language spoken most often at home,            Norwegian,,0,,0,,0,,70,,30,,40,
Language spoken most often at home,            Swedish,,10,,5,,5,,385,,190,,190,
Language spoken most often at home,            Vlaams (Flemish),,0,,0,,0,,145,,60,,85,
Language spoken most often at home,            Yiddish,,0,,0,,0,,370,,190,,185,
Language spoken most often at home,            Germanic languages; n.i.e.,,0,,0,,0,,655,,315,,340,
Language spoken most often at home,          Greek,,105,,50,,50,,21700,,10160,,11535,
Language spoken most often at home,          Indo-Iranian languages,,2785,,1370,,1415,,435835,,215755,,220080,
Language spoken most often at home,            Indo-Aryan languages,,2210,,1095,,1115,,344050,,171125,,172920,
Language spoken most often at home,              Bengali,,100,,50,,45,,29590,,14595,,14995,
Language spoken most often at home,              Gujarati,,255,,115,,140,,45445,,22410,,23035,
Language spoken most often at home,              Hindi,,225,,115,,105,,28960,,14485,,14475,
Language spoken most often at home,              Kashmiri,,0,,0,,0,,65,,30,,35,
Language spoken most often at home,              Konkani,,5,,5,,0,,540,,260,,280,
Language spoken most often at home,              Marathi,,10,,5,,5,,2420,,1230,,1190,
Language spoken most often at home,              Nepali,,30,,15,,15,,5640,,2815,,2820,
