School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Ashwood Glen,884822,,Heba Hefny,,,3430 Fairview Street,Burlington,Ontario,L7N2R5,905-320-1272,,West Region,www.ashwoodglen.com,Elementary,Not applicable,Site based only,No
Aspen Preparatory Academy,881865,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sarika Singh,211,,3024 Hurontario Street,Mississauga,Ontario,L5B4M4,416-668-8745,,Central Region,www.aspenprep.ca,Secondary,Not applicable,Online/Site Based,No
Aspiration Academy,881729,,Rachel Lam,,,165 Shields Court,Markham,Ontario,L3R8V2,905-752-0988,,Central Region,www.aspirationanddiscoveries.com,Elementary,Not applicable,Site based only,No
Aspire Academy,885039,,Paige Corrigan,,,"2013 Old Carp Road, Carp",Carp,Ontario,K0A1L0,613-858-9129,,East Region,www.insideaspireacademy.com,Elementary,Not applicable,Site based only,No
Associated Hebrew Schools of Toronto,887315,,Lee-Ron Kaye,,,252 Finch West Ave,Toronto,Ontario,M2R1M9,416-494-7666,416-494-2925,Central Region,www.associatedhebrewschools.com,Elementary,Not applicable,Site based only,Centre for Jewish Education
Associated Hebrew Schools of Toronto,889156,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Lee-Ron Kaye,,,252 Finch Ave W,Toronto,Ontario,M2R1M9,416-494-7666,416-494-3477,Central Region,www.associatedhebrewschools.com,Elem/Sec,Not applicable,Site based only,Jewish Day School
Astolot Education Centre,666610,Offers credits toward the Ontario Secondary School Diploma (OSSD),Andrew Stewart,,,2211 Thurston Drive,Ottawa,Ontario,K1G6C9,613-260-5996,,East Region,http://www.astolot.com/,Elem/Sec,Not applicable,Site based only,Ontario Learning Disabilities Ass.
Astrum Academy,668383,Offers credits toward the Ontario Secondary School Diploma (OSSD),Vahe Drnoyan,,,10201 Yonge Street,Richmond Hill,Ontario,L4C3B2,416-301-4635,,Central Region,astrum-academy.com,Elem/Sec,All Year Round,Online/Site Based,No
Asynchronous Academy,665288,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Gregory Senyshyn,,,404 St. Albert St.,Kincardine,Ontario,N2Z2V2,613-212-5989,,West Region,https://asyncacademy.ca,Secondary,All Year Round,Online Only,No
At Last Forest School - Ailsa Craig,665870,,Kristina Courey,,,27093 New Ontario Rd,Ailsa Craig,Ontario,N0M1A0,519-777-6589,,West Region,,Elementary,Not applicable,Site based only,No
At Last Forest School - Lindsay,665699,,David Taylor,,,277 Kenrie Rd,Lindsay,Ontario,K9V4R2,519-379-6383,,East Region,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No
At Last Forest School - Owen Sound,669486,,Carlin Val,,,72 2nd Avenue East,Owen Sound,Ontario,N4K5T2,519-373-6951,,West Region,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No
At Last Forest School - Port Elgin,665230,,Christine Brown,,,1593 Bruce Road 33,Saugeen Shores,Ontario,N0H2C0,519-379-6383,,West Region,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No
At Last Forest School Kincardine,667562,,Christine Brown,,,512-550 Bruce Avenue,Ripley,Ontario,N0G2R0,519-379-6383,,West Region,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No
At Last Forest School- Farm School,667474,,Tracy Fidler,,,241063 Concession 3 Kemble 3,kemble,Ontario,N0H1A0,519-379-6383,,West Region,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No
Athens Christian Academy Ltd,668386,,Jennifer Feenstra,,,15 Church Street,Athens,Ontario,K0E1B0,613-924-0002,,East Region,,Elementary,Not applicable,Site based only,No
Attercliffe Canadian Reformed Elementary,877212,,Clarence Blokhuis,,,85785 Canborough Rd RR 1,Dunnville,Ontario,N1A2W1,905-774-9009,905-774-3318,West Region,,Elementary,Not applicable,Site based only,No
Augusta Academy,666144,Offers credits toward the Ontario Secondary School Diploma (OSSD),Monica Andrews,,,1120 County Road 2 East,Brockville,Ontario,K6V5T1,807-357-8621,,North Region,https://www.mapleleafschools.com/north-america/schools/mls-lakehead-university/,Secondary,All Year Round,Online Only,No
Aurora Montessori School,884995,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lisa Walters,,,330 Industrial Parkway N,Aurora,Ontario,L4G4C3,905-841-0065,905-841-2022,Central Region,http://www.auroramontessori.com,Elem/Sec,Not applicable,Site based only,No
Aurora Preparatory Academy,885099,,Rhonda Mills-Vissers,,,81 Industrial Parkway North,Aurora,Ontario,L4G4C4,905-713-1141,,Central Region,www.aurora-prep.com,Elementary,Not applicable,Site based only,No
Autumn Hill Academy,669532,,Katherine Pasternak,,,9050 Dufferin Street,Concord,Ontario,L4K5M4,905-417-9779,,Central Region,autumnhillacademy.ca,Elementary,Not applicable,Site based only,MR3295
Avalon Children's Montessori School,666815,,Sherry VanDerKooi,,,65 Glen Manor Drive,Toronto,Ontario,M4E3V3,416-686-6621,,Toronto Region,www.avalonmontessori.ca,Elementary,Not applicable,Site based only,OFIS
Averroes Academy,665019,Offers credits toward the Ontario Secondary School Diploma (OSSD),Udai Hassein,,,5751 Volpe Ave.,Mississauga,Ontario,L5V2X5,416-723-8974,,Central Region,,Elem/Sec,All Year Round,Online/Site Based,No
Baibombeh Anishinabe School,663581,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tracy Des Roches,,,1001 Baibombeh Road,Pawitik,Ontario,P0X1L0,807-226-5698,807-226-5102,North Region,,Elem/Sec,First Nation,Site based only,No
Baig Academy,885730,Offers credits toward the Ontario Secondary School Diploma (OSSD),Javed Faruqui,25,,3100 Ridgeway Drive,Mississauga,Ontario,L5L5M5,905-581-1933,905-997-8387,Central Region,baigacademy.org,Secondary,All Year Round,Online/Site Based,No
Bais Chaya Mushka,877662,,Yaakov Vidal,,,4375 Chesswood Drive,Toronto,Ontario,M3J2C2,416-398-9532,416-631-1110,Central Region,,Elementary,Not applicable,Site based only,No
Bais Chomesh High School for Girls,878774,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rivka Yarmush,,,3600 Bathurst St,Toronto,Ontario,M6A2C9,416-631-0585,416-631-0244,Toronto Region,,Secondary,Not applicable,Site based only,Jewish Board of Education
Bais Yaakov Elementary School,888486,,Esther Scheiner,,,15 Saranac Boulevard,Toronto,Ontario,M6A2G4,416-785-0750,416-785-9769,Toronto Region,,Elementary,Not applicable,Site based only,No
Bais Yaakov of Thornhill,668022,,Rivka Steier,,,613 Clark Ave. W.,Thornhill,Ontario,L4J5V3,905-764-1800,,Toronto Region,,Elementary,Not applicable,Site based only,No
Balanced Education Network B.E.N. School,887316,,Ilaria Sheikh,,,394 Ha HARVIE AVE,Toronto,Ontario,M6E4L8,647-237-2648,416-653-8680,Toronto Region,www.benschoolhouse.com,Elementary,Not applicable,Site based only,No
Balsam Grove Parochial,887463,,Martha Martin,,,2542 Northfield Drive East 2,Elmira,Ontario,N3B2Z2,519-669-8522,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Bannockburn School,876135,,Margaret Kahnert,,,3080 Bayview Ave,North York,Ontario,M2N5L3,416-789-7855,,Toronto Region,www.bannockburn.ca,Elementary,Not applicable,Site based only,CCMA
Barrie Montessori & Elementary Private S,883576,,Dawn Allen,,,580 Bayfield ST,Barrie,Ontario,L4M5A2,705-728-0303,,Central Region,www.barriemontessori.ca,Elementary,Not applicable,Site based only,No
Base Academy,883635,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tony Chan,7b,,60 Granton Drive,Richmond Hill,Ontario,L4B2N6,437-666-9999,,Toronto Region,https://www.baseacademy.ca/,Secondary,All Year Round,Online Only,No
Batchewana Learning Centre,663670,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wayne Greco,,,15 Jean Avenue,Sault Ste Marie,Ontario,P6B4B1,705-759-7285,705-759-9982,North Region,,Secondary,First Nation,Site based only,No
Baxter Forest School,883821,,Andrea Wood,,,7498 Carter Road,Kars,Ontario,K0A2E0,613-489-3592,,East Region,https://www.rvca.ca/outdoor-education/baxter/baxter-forest-school,Elementary,Not applicable,Site based only,No
Bay School of Canada,668088,,Winston Tom,208,,1110 Sheppard Avenue East,Toronto,Ontario,M2K2W2,416-800-4472,,Central Region,www.bayschoolofcanada.com,Secondary,Not applicable,Online Only,No
Bayfield School,881988,Offers credits toward the Ontario Secondary School Diploma (OSSD),Richard Duvall,,,41 County Rd  39,Consecon,Ontario,K0K1T0,613-392-3551,613-392-4054,East Region,http://www.bayfield.net/,Elem/Sec,Not applicable,Site based only,No
Bayview Glen,887188,Offers credits toward the Ontario Secondary School Diploma (OSSD),James Lee,,,85 Moatfield Dr,Toronto,Ontario,M3B3L6,416-443-1030,416-443-0984,Central Region,www.bayviewglen.ca,Elem/Sec,Not applicable,Site based only,Canadian Accredited Independent Schools
Bayview Glen (Elementary),884645,,James Lee,,,275 Duncan Mill Road,Toronto,Ontario,M3B3H9,416-443-1030,416-443-1032,Central Region,www.bayviewglen.ca,Elementary,Not applicable,Site based only,Canadian Accredited Independent Schools
Beaches Montessori School Inc,665810,,Leigh Jacques,,,975 Kingston Road,Toronto,Ontario,M4E1T1,416-901-2992,,Toronto Region,www.beachesmontessori.com,Elementary,Not applicable,Site based only,CCMA
Beacon Christian Elementary School,886319,,Ralph Pot,,,300 Scott St,St Catharines,Ontario,L2N1J3,905-937-7411,905-937-1130,West Region,www.beaconchristian.org,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Beacon Hill Christian Academy,667539,,Edward Slaa,,,11251 Bayview Avenue,Richmond Hill,Ontario,L4S1L8,905-392-6590,,Central Region,beaconhillca.org,Elementary,Not applicable,Site based only,Edvance
Beacon House International College,666670,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bilal Rashid,502,,3050 Confederation Parkway,Mississauga,Ontario,L5B3Z6,905-290-1321,905-290-7994,Central Region,www.beaconhouse.ca,Elem/Sec,All Year Round,Online/Site Based,No
Beaver Valley Parochial School,884634,,Anna Martin,,,491769 Southgate Sideroad 49 1,Holstein,Ontario,N0G2A0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Beaverbrook Math Academy,668367,Offers credits toward the Ontario Secondary School Diploma (OSSD),Holly MacDonald,200,,2 Beaverbrook Road,Kanata,Ontario,K2K1L1,613-435-6284,,East Region,www.beaverbrookmathacademy.com,Secondary,Not applicable,Site based only,No
Beechwood Brainery,669958,,Janet Greener,204,,745 Coronation Boulevard #204,Cambridge,Ontario,N1R7R1,519-221-0304,,West Region,,Elementary,Not applicable,Site based only,No
"Behaviour Innovations, Children's Colleg",666432,,Nicole WALTON-ALLEN,,,618 The Queensway,Toronto,Ontario,M8Y1K3,416-251-9277,416-251-4688,Toronto Region,www.behaviourinnovations.com,Elementary,Not applicable,Site based only,No
Bell Mill Christian School,886998,,Kenton Plett,,,337 Bell Mill Side Road,Courtland,Ontario,N0J1E0,,,West Region,,Elementary,Not applicable,Site based only,No
Belleville District Christian School,886521,,Jordan Butcher,,,18 Christian School Road RR5,Belleville,Ontario,K8N0L7,613-962-7849,613-962-6440,East Region,http://www.bellevillechristianschool.ca,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Belleville Montessori School,886209,,Marcia McQuaid,,,28 ORIOLE PARK AVE,BELLEVILLE,Ontario,K8N4C7,613-966-7672,613-966-7019,East Region,www.bellevillemontessori.com,Elementary,Not applicable,Site based only,No
Bellstone Christian School,665087,,Martin Jongsma,,,6025 White Church Road,Mount Hope,Ontario,L0R1W0,289-425-1007,,West Region,www.bellstoneschool.ca,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
Bertram International Academy,883970,Offers credits toward the Ontario Secondary School Diploma (OSSD),Alex Fan,,,20 East Beaver Creek Road,Richmond Hill,Ontario,L4B1G6,819-328-6489,,Central Region,www.bertramedu.ca,Elem/Sec,Not applicable,Online/Site Based,No
Beth Jacob Private School,887196,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shifra Spiro,,,410 Lawrence Ave W,Toronto,Ontario,M5M1C2,416-787-4949,416-787-0453,Toronto Region,,Secondary,Not applicable,Site based only,Board of Jewish Education
Bethel Baptist Academy,889024,,Alan Feere,,,4059 Highway 3 East,Simcoe,Ontario,N3Y4K4,519-426-8421,,West Region,http://www.bethelbaptistsimcoe.ca/,Elem/Sec,Not applicable,Online/Site Based,No
Beyond Montessori School Inc,666433,,Karen Kenesky,,,2 O'Malley Drive,St. Catharines,Ontario,L2N6N7,905-937-0700,,West Region,www.beyondmontessori.com,Elementary,Not applicable,Site based only,No
Bialik Hebrew Day School,887200,,Benjamin Cohen,,,2760 Bathurst St,Toronto,Ontario,M6B3A1,416-783-3346,416-785-8287,Toronto Region,www.bialik.ca,Elementary,Not applicable,Site based only,No
Bibleway Ministries Christian Learning C,884706,,Christine Grant,,,500 Bride Private,Nepean,Ontario,K2J0J1,613-838-4238,,East Region,https://www.clcottawa.ca/,Elementary,Not applicable,Site based only,No
Biigtigong Nishnaabeg,663816,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rhonda Leclair,,Box 216,21 Rabbit Drive,Heron Bay,Ontario,P0T1R0,807-229-0360,807-229-3727,North Region,,Secondary,First Nation,Site based only,No
Bimose Community High School,663582,Offers credits toward the Ontario Secondary School Diploma (OSSD),Eleanor Skead,,,1450 Valley Drive,Kenora,Ontario,P9N3S7,807-548-4912,807-548-5917,North Region,www.kiizhik.ca,Secondary,First Nation,Site based only,No
Birchwood Christian School,885084,,Norman MIller,,,315 Hoey Road,Dryden,Ontario,P8N3G2,807-937-4421,,North Region,,Elem/Sec,Not applicable,Site based only,No
Birmingham Int'l Collegiate of Can,668260,Offers credits toward the Ontario Secondary School Diploma (OSSD),Zahra Zaidi,2nd Floor,,90 Eglinton Avenue West,Toronto,Ontario,M4R2E4,416-481-8866,416-481-3511,Toronto Region,www.bicc-edu.com,Secondary,All Year Round,Site based only,No
Bishop Hamilton Montessori School,883808,,Renette Sasouni,,,2199 Regency Terrace,Ottawa,Ontario,K2C1H2,613-596-4013,613-596-4971,East Region,http://www.bhms.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators
"Bishop Strachan School, The",886840,Offers credits toward the Ontario Secondary School Diploma (OSSD),Angela Terpstra,,,298 Lonsdale Rd,Toronto,Ontario,M4V1X2,416-483-4325,416-481-5632,Toronto Region,http://www.bss.on.ca,Elem/Sec,All Year Round,Site based only,Conference of Independent Schools
Bkejwanong Kinomaagewgamig,881912,,Simeon Russell Blackbird,,,521 Tecumseh Road,Wallaceburg,Ontario,N8A4K9,519-627-0712,519-627-8536,West Region,,Elementary,First Nation,Site based only,No
Black Creek Parochial,668131,,Nancy Weber,,,68 Statters Lake Ave 1,Holyrood,Ontario,N0G2B0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Blaisdale Montessori,888893,,Heather Wilson,,,415 Toynevale Rd,Pickering,Ontario,L1W2G9,905-509-5005,905-509-1959,East Region,www.blaisdale.com,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Blake Academy,882495,,Cheryl Blake,,,5171 Huntingfield Drive,Mississauga,Ontario,L5R2L8,416-580-9959,,Central Region,www.blakeacademy.ca,Elementary,Not applicable,Site based only,No
Blue Gene Education,884414,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shan Shan Chen,220-221,,11A Glen Watford Drive,Scarborough,Ontario,M1S2B8,647-722-9968,,East Region,www.bluegene.ca,Secondary,All Year Round,Online/Site Based,No
Blue Jay International Academy,666239,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jae In Lee,3,,168 Konrad Crescent,Markham,Ontario,L3R9T9,416-910-8810,,Toronto Region,www.bjia.ca,Secondary,Not applicable,Online/Site Based,No
Blue Mountain Wild School,882337,,Jeff Barrett,,,"316362 3 Line, Kimbercote Farms Line",Kimberly,Ontario,N0C1G0,416-700-3737,,Central Region,,Elementary,Not applicable,Site based only,No
Blue Sky: An Acton Academy,885018,,Sarah McCullough,,,581 Cheryl Street,Cornwall,Ontario,K6K1N5,613-330-0751,,East Region,blueskyanactonacademy.com,Elem/Sec,Not applicable,Site based only,"IALDS, OFIS, OCT"
Blue Whale Children's Centre,668441,,Lillian Domin,,,579 Parkdale Ave,Ottawa,Ontario,K1Y4K1,613-415-3852,,East Region,,Elementary,Not applicable,Online/Site Based,No
Blueberry Creek Forest School & Nature C,885564,,Robyn Mulcahy,,,17638 Hwy 7,Tay Valley,Ontario,K7H3C6,613-915-3263,,East Region,www.blueberrycreekforestschool.com,Elementary,Not applicable,Site based only,"Forest Schools Canada, Canadian Nature Alliance"
Bluevale Meadows,668860,,Susana Wall,,,42300 Orange Hill Road 1,Bluevale,Ontario,N0G1G0,,,West Region,,Elementary,Not applicable,Site based only,Orthodox Mennonite Schools
Blyth Academy @ CIHA,665364,Offers credits toward the Ontario Secondary School Diploma (OSSD),Susan Kelly,,,8710 County Road 17,Rockland,Ontario,K4K1T2,613-446-2212,,East Region,www.blythacademy.ca,Elem/Sec,Not applicable,Site based only,No
Blyth Academy Burlington,880898,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dan Compagnon,14-21,,422 Pearl Street,Burlington,Ontario,L7R2N1,905-637-0346,,West Region,blythacademy.ca,Elem/Sec,Not applicable,Site based only,No
Blyth Academy Downsview Park,665466,Offers credits toward the Ontario Secondary School Diploma (OSSD),Pia Munther,7,,75 Carl Hall Road,Toronto,Ontario,M3K2B9,416-631-0123,,Central Region,blytheducation.com,Elem/Sec,Not applicable,Site based only,No
Blyth Academy Etobicoke,669629,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michael Minicucci,,,2489 Bloor Street West,Etobicoke,Ontario,M6S1R6,647-945-3735,,Toronto Region,www.blytheducation.com,Secondary,Not applicable,Site based only,No
